hcp_name,rank,institution,institution_city,hcp_id,stub_hcp_id,stub_npi,stub_name,nppes_city,nppes_state,npi_specialty,first_name_jw,medicare_crossval_tier
D. Ross Camidge,4,University of Colorado Cancer Center,Aurora,8212bf6f-4280-4256-b2c7-644eff8f9843,5d0756c3-ba82-402a-abc2-88520878a379,1336239912,David Camidge,AURORA,CO,"Internal Medicine, Medical Oncology",0.76,A1
Alexander Drilon,7,Memorial Sloan Kettering Cancer Center,New York,91bc38ce-61a1-4636-ab46-0c2dde91ab6e,91258513-ef96-4ffe-960a-8e95b58b7369,1578876876,Alexander Edward Drilon,NEW YORK,NY,"Internal Medicine, Medical Oncology",1.00,A1
Karen Kelly,32,UC Davis Comprehensive Cancer Center,Sacramento,bb2a16d9-99f5-43e5-a041-d73cb8a0cace,532269bc-220c-499b-abe3-56f83fb425c1,1477651222,Karen Kelly,SACRAMENTO,CA,"Internal Medicine, Hematology & Oncology",1.00,B
Sarah B. Goldberg,37,Yale Cancer Center,New Haven,3003ac1c-3dad-47cf-a9bb-691213213431,b365070b-cf9c-4a51-b575-3e0b716ee6a5,1932236395,Sarah Goldberg,NEW HAVEN,CT,"Internal Medicine, Medical Oncology",1.00,B
David E. Gerber,48,The University of Texas Southwestern Medical Center,Dallas,9fbea9a9-c256-4b9b-a310-b54dc77907df,a1f128af-a9ff-44de-96d6-df227665eb6a,1336295039,David Gerber,DALLAS,TX,"Internal Medicine, Medical Oncology",1.00,B
Paul K. Paik,52,Memorial Sloan Kettering Cancer Center,New York,46f8b7a6-c668-4c7c-aef6-a27eb8040577,01e3c751-9777-4eef-ada8-9cec44de2fbe,1508023870,Paul Paik,NEW YORK,NY,"Internal Medicine, Medical Oncology",1.00,A1
Melissa L. Johnson,54,Sarah Cannon,Nashville,2036bbe7-5797-4af9-b9ac-2125f0de98d4,636b66be-35bc-4145-998a-7b2080a1b128,1821269465,Melissa Johnson,NASHVILLE,TN,"Internal Medicine, Medical Oncology",1.00,B
Nasser H. Hanna,102,Indiana University Health,Indianapolis,8d2c0221-0847-46a9-a791-e9d7f0f6feea,76bbe29c-43a6-452f-98dc-aa7ddb3f765b,1316903883,Nasser Hanna,INDIANAPOLIS,IN,"Internal Medicine, Medical Oncology",1.00,B
Edward S. Kim,148,Levine Cancer Institute,Charlotte,0508ea51-b985-4ebc-9bba-78e7e5b660c7,38f8e3c8-d3db-43d6-9172-4c37817c06cb,1972688984,Edward Kim,CHARLOTTE,NC,"Internal Medicine, Medical Oncology",1.00,
F. Stephen Hodi,150,Dana-Farber Cancer Institute,Boston,f8d68469-c468-4289-afa6-2688c7e3c29b,237314a8-06bc-44c7-9c38-3b5089830f6b,1730156324,Frank Hodi,BOSTON,MA,"Internal Medicine, Medical Oncology",0.76,A1
Millie Das,192,VA Palo Alto Health Care System,Palo Alto,ac6c1228-6142-4a97-a6ee-c3a80203a093,dee0933c-2106-4f93-9040-7c88f1c27771,1225182322,Millie Das,PALO ALTO,CA,"Internal Medicine, Medical Oncology",1.00,A1
Douglas B. Johnson,207,Vanderbilt University Medical Center,Nashville,91572095-d09b-47a3-a6c1-e3a9377c33bd,d1286b9a-83ee-4e08-9b57-0301fbda1c7e,1154597458,Douglas Johnson,NASHVILLE,TN,"Internal Medicine, Medical Oncology",1.00,B
Renato Martins,280,University of Washington Medical Center,Seattle,c978516c-fb15-4153-91a7-581c75fe27d9,4ff38d6f-6ce0-4d62-9cec-87710ab69760,1396821195,Renato Martins,SEATTLE,WA,"Internal Medicine, Medical Oncology",1.00,A1
David H. Johnson,291,The University of Texas Southwestern Medical Center,Dallas,785fee52-a069-422f-8cb3-5e0ceacb664d,7658c0aa-422d-42db-9d41-8e52d63b2724,1013009422,David Johnson,DALLAS,TX,"Internal Medicine, Medical Oncology",1.00,B
David Ross Camidge,439,University of Colorado Cancer Center,Aurora,87956ff6-a162-4af4-937c-5ad4c7acb194,5d0756c3-ba82-402a-abc2-88520878a379,1336239912,David Camidge,AURORA,CO,"Internal Medicine, Medical Oncology",1.00,A1
Román Pérez-Soler,576,Albert Einstein College of Medicine,Bronx,d776a25d-889e-437a-9331-40d2e2f51242,5d3e65c8-3c22-40c8-81a4-59be4fea2a08,1316027808,Roman Perez-Soler,BRONX,NY,"Internal Medicine, Medical Oncology",1.00,
Shridar Ganesan,635,"Rutgers, The State University of New Jersey",New Brunswick,94456703-66ef-4a3b-ab6d-ad5c3f966608,0ab39af7-cf26-4d52-b71f-bcf1c10dcc44,1619916566,Shridarr Ganesan,NEW BRUNSWICK,NJ,"Internal Medicine, Medical Oncology",0.97,B
Jose M. Pacheco,654,University of Colorado Cancer Center,Aurora,272f5194-9380-411c-bac1-dbb64830e197,41a1845c-0fb0-4390-bd5a-885d8508b909,1083935456,Jose Pacheco,AURORA,CO,"Internal Medicine, Medical Oncology",1.00,A1
Michael A. Davies,664,The University of Texas MD Anderson Cancer Center,Houston,0b7736a1-a369-42da-a03b-a8197832b223,e81e84ee-5cf7-424d-a383-2e882a1439ab,1255429486,Michael Davies,HOUSTON,TX,"Internal Medicine, Medical Oncology",1.00,
Joseph C. Murray,671,Johns Hopkins University,Baltimore,09a1d720-19f2-45da-b898-0e1bcf79c7be,24de2ff2-9965-4478-80b1-a2c3e7b644dd,1700270626,Joseph Murray,BALTIMORE,MD,"Internal Medicine, Medical Oncology",1.00,B
Jorge Gómez,738,Icahn School of Medicine at Mount Sinai,New York,ea63b8e2-9830-4013-b977-2f4fb78173c2,bd692861-59d0-4712-8cf4-12878310b5d0,1649241688,Jorge Gomez,NEW YORK,NY,"Internal Medicine, Medical Oncology",1.00,B
J. Nicholas Bodor,763,Fox Chase Cancer Center,Philadelphia,c1a8f52b-05a6-4310-898d-49b8271bcbeb,188c28fe-f9ae-4887-ac31-b9cec03cbdfe,1528486586,Joseph Bodor,PHILADELPHIA,PA,"Internal Medicine, Medical Oncology",0.75,
Zihai Li,796,The Ohio State University Comprehensive Cancer Center – Arthur G. James Cancer Hospital and Richard J. Solove Research Institute,Columbus,bee25552-da4a-44a3-a565-914c29b57101,6871cefd-febd-4103-86e2-12210ede2641,1306833934,Zihai Li,COLUMBUS,OH,"Internal Medicine, Medical Oncology",1.00,
Martin Gutierrez,882,Hackensack University Medical Center,Hackensack,f1f48fed-1e44-40ad-b570-90504f4cc512,bc81cff7-2699-416d-9dce-42d329899eb4,1558562793,Martin Gutierrez,HACKENSACK,NJ,"Internal Medicine, Medical Oncology",1.00,A1
John C. Morris,896,University of Cincinnati,Cincinnati,8c0f5cf1-198a-4569-8a1f-248e611e23f1,2db7c4dd-ce09-4f37-bc78-a3ab214d873d,1407055700,John Morris,CINCINNATI,OH,"Internal Medicine, Medical Oncology",1.00,A1
Keisuke Shirai,944,Dartmouth–Hitchcock Medical Center,Lebanon,69ec96c3-8926-4327-bfa0-61db58d88944,426e0194-1909-457b-8033-6130b38ab4f7,1992892905,Keisuke Shirai,LEBANON,NH,"Internal Medicine, Hematology & Oncology",1.00,A1
Thomas J. Smith,985,Johns Hopkins University,Baltimore,060deedc-1fba-4cdd-9454-a3899fb4a476,61eb3f29-d012-46ed-91fd-51d4c53b333f,1457441008,Thomas Smith,BALTIMORE,MD,"Internal Medicine, Medical Oncology",1.00,B
Matthew H. Taylor,1018,Oregon Health & Science University,Portland,eaf26471-61bd-494b-9dc8-759126b52f26,305e2d27-8802-44da-8cfc-ca8949f08cfa,1134239197,Matthew Taylor,PORTLAND,OR,"Internal Medicine, Medical Oncology",1.00,B
Monica F. Chen,1107,Memorial Sloan Kettering Cancer Center,New York,50de8646-a03c-46d3-9c31-8a1d5806383a,e91a9eb5-dc90-4ed2-81df-19bc746843e7,1003313800,Monica Chen,NEW YORK,NY,"Internal Medicine, Medical Oncology",1.00,
Daniel Becker,1137,VA NY Harbor Healthcare System,New York,7cff7f6a-4ab1-4d65-a662-d897d2b4c594,9788367b-575c-4e8b-9ad0-331e3e078bc2,1639361546,Daniel Becker,NEW YORK,NY,"Internal Medicine, Medical Oncology",1.00,
F. Anthony Greco,1171,Sarah Cannon,Nashville,06ade1fe-c45a-41a3-af4a-83b3a811159e,6bb621b0-3769-4e72-b1d2-60c7eef5ebc1,1497791602,Frank Greco,NASHVILLE,TN,"Internal Medicine, Medical Oncology",0.76,A1
Ümit Tapan,1226,Boston Medical Center,Boston,22dc04de-49ec-40d0-b0a6-ca0ee7c026b1,8fee10c2-4428-4df1-8609-c36ddc184f8e,1457581043,Umit Tapan,BOSTON,MA,"Internal Medicine, Medical Oncology",1.00,A1
Éduardo Bruera,1244,The University of Texas MD Anderson Cancer Center,Houston,f8cb51f3-8e59-425f-b6c8-b1941289534f,4a106003-0dfa-4c34-b2c1-aa2698adfa0c,1174628028,Eduardo Bruera,HOUSTON,TX,"Internal Medicine, Medical Oncology",1.00,
Haniel A. Araújo,1278,The University of Texas MD Anderson Cancer Center,Houston,1831917a-f1c6-4a41-858b-1a071695e742,0699df19-d053-4fb2-9948-ad2165ee8444,1710746045,Haniel Araujo,HOUSTON,TX,"Internal Medicine, Medical Oncology",1.00,
Ryan D. Roberts,1499,Nationwide Children's Hospital,Columbus,11df0461-0bbe-4b59-9a3b-39f338ccbb0a,dd89ec32-6644-4608-b907-f9699ced5fba,1861716755,Ryan Roberts,COLUMBUS,OH,"Pediatrics, Pediatric Hematology-Oncology",1.00,
Gregory A. Vidal,1568,West Cancer Center,Germantown,771cec64-2f64-4c9a-a1ba-3c1b603b0141,e4e9b88e-dc75-4c55-aa68-32d25fbc14aa,1730403072,Gregory Vidal,GERMANTOWN,TN,"Internal Medicine, Medical Oncology",1.00,B
Rogério Lilenbaum,1605,Yale Cancer Center,New Haven,a07c8cf8-1fd0-4b8e-be01-7d9e7de2f04b,4d758ab4-ca90-462a-aa5c-33b23bdf90e5,1669460366,Rogerio Lilenbaum,NEW HAVEN,CT,"Internal Medicine, Medical Oncology",1.00,
Daniel Wang,1726,Baylor College of Medicine,Houston,b8722be9-5c66-4a14-86cd-36baec97b325,5bf844c3-df30-45b0-a0a1-623b157c5fdd,1679834329,Daniel Wang,HOUSTON,TX,"Internal Medicine, Hematology & Oncology",1.00,B
Gabriel A. Brooks,1867,Dartmouth–Hitchcock Medical Center,Lebanon,f762545a-e417-4f16-bfaa-2b0267d0c284,bf65de52-f0c4-41c3-89ba-5202ff994bde,1366598955,Gabriel Brooks,LEBANON,NH,"Internal Medicine, Medical Oncology",1.00,A1
Jennifer M. Johnson,1889,Thomas Jefferson University,Philadelphia,08571f4e-8209-4471-9d67-05942fe3160c,64a348fd-a3f3-48b0-a825-8baf0e1a92d7,1518127364,Jennifer Johnson,PHILADELPHIA,PA,"Internal Medicine, Medical Oncology",1.00,B
Jun Zhao,1970,The University of Texas MD Anderson Cancer Center,Houston,f9da92a8-5bc3-4f31-8371-fdbb80797813,7af48eb5-ffe5-4abb-b7a0-ac2b07ffc72c,1841580628,Jun Zhao,HOUSTON,TX,"Pediatrics, Pediatric Hematology-Oncology",1.00,
Hamid Mirshahidi,1972,Loma Linda University,Loma Linda,08b98fa7-8102-4d63-8433-47a30673b9fe,e8c1801a-eaaf-4833-8a6e-bde5863aa43f,1659307015,Hamid Mirshahidi,LOMA LINDA,CA,"Internal Medicine, Medical Oncology",1.00,A1
M. Boulanger,2113,Massachusetts General Hospital,Boston,54692c7e-ae9d-4c22-a51e-492096d77b33,4e2b58d2-f681-4131-9568-775a5760b2cc,1548825607,Mary Boulanger,BOSTON,MA,"Internal Medicine, Medical Oncology",0.78,
Jason C. Chandler,2232,West Cancer Center,Germantown,c4c1604c-7906-4743-95d7-1656b13d55b8,af02b5f1-43fc-43da-ae19-c23bd567d087,1295778330,Jason Chandler,GERMANTOWN,TN,"Internal Medicine, Medical Oncology",1.00,A1
Javed Khan,2458,Center for Cancer Research,Bethesda,a40c47c1-2114-4c6f-94aa-ffc4c2a5da09,9c77fed0-f6c3-4a05-9764-7b026cec70ff,1821646167,Javed Khan,BETHESDA,MD,"Pediatrics, Pediatric Hematology-Oncology",1.00,
Uroosa Ibrahim,2523,Staten Island University Hospital,New York,d5f0f1ca-ca8f-4311-bcaa-c9ec8ece0b41,fe7ad462-e403-4568-8106-117b61020c32,1235494204,Uroosa Ibrahim,NEW YORK,NY,"Internal Medicine, Medical Oncology",1.00,A1
Mark Stoopler,2561,NewYork–Presbyterian Hospital,New York,3bf778a4-6f92-4fde-9538-1dbf52549558,f6f267dd-ea3c-4e63-9cf4-29eec163b10e,1295833937,Mark Stoopler,NEW YORK,NY,"Internal Medicine, Medical Oncology",1.00,A1
