Loaded 181 target HCPs
[HCP 1/181] 0011eee6-d1bc-4f2a-ab40-f197bd8827e7: 10 papers, 47 positions, depth=deep, synthesis written
[HCP 2/181] 026850cd-c8e4-4fee-8612-3fcf1bd993de: 10 papers, 50 positions, depth=deep, synthesis written
[HCP 3/181] 02b9b36c-3bc2-4e77-baa9-406ded8d636e: 10 papers, 50 positions, depth=deep, synthesis written
[HCP 4/181] 040f355f-cd2e-428d-a6ca-5c4c2f92002b: 1 papers, 5 positions, depth=signal_moment, synthesis written
[HCP 5/181] 0470097c-dc26-44a5-ae59-58b55523bb44: 5 papers, 25 positions, depth=deep, synthesis written
[HCP 6/181] 04ef972f-6b5f-493a-af3c-9874767148b9: 10 papers, 50 positions, depth=deep, synthesis written
[HCP 7/181] 060c035c-1efd-4117-8e51-df85748ad07a: 10 papers, 50 positions, depth=deep, synthesis written
[HCP 8/181] 077685e1-750d-4761-86fb-448e3a5f75b8: 5 papers, 25 positions, depth=deep, synthesis written
[HCP 9/181] 0838caf0-7cf7-4fa8-bf2e-deb52cb120a1: 10 papers, 50 positions, depth=deep, synthesis written
[HCP 10/181] 08d98a96-5851-4589-baa1-5e818b687bf0: 4 papers, 19 positions, depth=focused, synthesis written
[HCP 11/181] 0d8905ca-f572-4063-80c8-bdfb6d665138: 9 papers, 43 positions, depth=deep, synthesis written
